,review_id,course_id,course_name
0,12729,2093,"[AHUM V3340] Art in China, Japan, and Korea"
1,12730,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
2,12731,2056,[ASTR 1404] Beyond the Solar System
3,12732,3742,East Asia's Dynamic Economies
4,12733,3801,[G4421] Seminar: Topics On Problems of Emerging Market Economies
5,12736,3803,The French Philosophical Tradition
6,12737,5185,[MATH V1102] Calculus II
7,12738,1250,Macroeconomics
8,12739,268,[BUSI 3003] Corporate Finance
9,12740,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
10,12741,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
11,12743,454,Narrative Forms
12,12745,3545,[C1101] Contemporary Civilization
13,12746,3805,[GRKM V1101] Elementary Modern Greek I
14,12748,303,[C1100] Frontiers of Science
15,12749,3806,[MDES W1511] Elementary Modern Hebrew II
16,12750,1604,Advanced Oral French
17,12751,3807,[COMS W1004] Intro to Computer Science- Programming in Java
18,12752,5185,[MATH V1102] Calculus II
19,12753.0,,
20,12755,2093,"[AHUM V3340] Art in China, Japan, and Korea"
21,12756,2091,Michelangelo and Mannerism
22,12758,3160,Religion and the Civil Rights Movement
23,12759,2171,[1201] First-Year English: Women and Culture
24,12760,2093,"[AHUM V3340] Art in China, Japan, and Korea"
25,12761,2384,[COMS W4118] Operating Systems I
26,12762,3460,W4150 Introduction to Probability and statistics
27,12763,2093,"[AHUM V3340] Art in China, Japan, and Korea"
28,12764,3545,[C1101] Contemporary Civilization
29,12765,1889,[ENGL W3336] Shakespeare II
30,12766,3809,Comparative Modern Fiction
31,12767,621,[W3002] Structure and Style II
32,12768,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
33,12770,1246,colloquium
34,12771,3379,[C1010] University Writing
35,12772,3623,[AHIS W3645] 20th Century Architecture and City Planning
36,12773,5232,[FREN W3334] Major Literary Works since 1800
37,12774,3633,[W3213] Intermediate Macroeconomics 
38,12775,3633,[W3213] Intermediate Macroeconomics 
39,12776,1490,SIEO 4150
40,12777,1908,[W1105] Principles of Economics
41,12778,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
42,12780,3354,[AHUM V3400] Colloquium on Major Texts
43,12782,3545,[C1101] Contemporary Civilization
44,12783,2588,[GREK V1201] Intermediate Greek: Prose
45,12786,610,[HIST W4316] The American Presidency
46,12788,2296,Jazz I
47,12789,4947,[AHMM V3320] Music of East Asia
48,12790,310,[W3001] Structure and Style I
49,12791,5185,[MATH V1102] Calculus II
50,12792,2070,Dance History II
51,12793,3914,[E3018] Mechanical Engineering Lab I
52,12794,3811,[POLS W3922] Terrorism and Counter-Terrorism
53,12797,3545,[C1101] Contemporary Civilization
54,12798,303,[C1100] Frontiers of Science
55,12799,2203,[C1404] General Chemistry II
56,12800,3468,Seminar
57,12801,2141,[HIST BC1062] Introduction to the Later Middle Ages: 1050-1450
58,12802,3379,[C1010] University Writing
59,12803,2758,[ECPH W4950] Economics/Philosophy Seminar
60,12804,3813,[PHIL V3352] Recent European Philosophy
61,12805,3814,"[FREN BC3069] Black, Jews and Arabs in France"
62,12806,1791,[W4438] Economics of Race in the U.S.
63,12807,454,Narrative Forms
64,12809,3816,"US Latino Lit, Caribbean Cultures/Global Cities"
65,12810,3545,[C1101] Contemporary Civilization
66,12811,3466,[FREN BC3007] Commercial-Economic French
67,12812,3379,[C1010] University Writing
68,12816,1033,U8213
69,12819,4634,[STAT W1211] Intro to Statistics (B)
70,12820,3545,[C1101] Contemporary Civilization
71,12821,3480,[BIOL BC2001] Molecular and Cell Biology
72,12822,2056,[ASTR 1404] Beyond the Solar System
73,12823,2287,[COMS W4252] Introduction to Computational Learning Theory
74,12824,2403,[COMS W4733] Computational Aspects of Robotics
75,12825,1331,[PSYC W2630] Social Psychology
76,12828,3199,Fiction Workshop
77,12829.0,,
78,12830,1852,[HIST BC4901] Re-Acting to the Past II
79,12831.0,,
80,12833.0,,
81,12834,3545,[C1101] Contemporary Civilization
82,12835,4643,"[ASTR BC1754] Stars, Galaxies, and Cosmologies"
83,12836,591,[BIOL C2005] Introduction to Molecular and Cellular Biology I
84,12837,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
85,12838,3818,West African History
86,12840,3379,[C1010] University Writing
87,12841,3016,[MDES W1210] Elementary Arabic I
88,12842,3287,[BIOC C3501] Biochemistry: Structure and Metabolism
89,12843,3669,[HIST W3377] International and Global History Since WWII
90,12845,3379,[C1010] University Writing
91,12846,363,1202
92,12847,310,[W3001] Structure and Style I
93,12848.0,,
94,12849,2390,[ANTH V1009] Introduction to Language and Culture
95,12850,3379,[C1010] University Writing
96,12851,3677,[AHIS S3605] The Architecture of New York: Its Structures
97,12852,230,[ENGL W3269] British Literature 1900-1950
98,12853,2868,Latin American Culture Through Conversation (SPAN 3101)
99,12855,845,[HIST BC3467] America Since 1945
100,12856,1651,Microeconomics and Policy Analysis
101,12857,3820,Quantitative Techniques
102,12858,3821,MEDIEVAL HISTORIOGRAPHY
103,12859,303,[C1100] Frontiers of Science
104,12860,2092,[ARCH 3101] Architectural Representation: Abstraction
105,12861,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
106,12862,880,[RELI V3210] Judaism in the Time of Jesus
107,12863,675,[PSYC BC1101] Statistics
108,12864,3197,Statistics and Methods
109,12865,2543,[PUAF U4260] Critical Issues in Urban Public Policy
110,12866,73,[MATH V1101] Calculus I
111,12867.0,,
112,12870,3823,Modern Comp Fiction - Spring 2004
113,12871,3824,Intro to Women and Gender Studies
114,12872,3825,Colloquium: Enlightenment
115,12873,3826,Black Explorations in Literature
116,12874,3827,Women and Culture in Mexico
117,12875,3828,Psychology Statistics
118,12876,3829,Shakespeare I & Critical Writing
119,12877,3830,Colloquium: Renassaince
120,12878,3831,Int I
121,12879.0,,
122,12880,3141,Transport Phenomena I
123,12882,687,[POLS W3399] The Supreme Court and American Politics
124,12883,3379,[C1010] University Writing
125,12884.0,,
126,12885,3459,[BIOL W3004] Neurobiology I: Cellular & Molecular
127,12886,4511,[HIST W3478] U.S. Intellectual History 1865 to Present
128,12887,3797,[ANTH V1002] The Interpretation Of Culture
129,12888,125,[SPAN C1202] Intermediate Spanish II
130,12889,3835,MSTU4000
131,12890,73,[MATH V1101] Calculus I
132,12891,3797,[ANTH V1002] The Interpretation Of Culture
133,12892,3545,[C1101] Contemporary Civilization
134,12893,5461,[CHNS C1102] Elementary Chinese II (N)
135,12894,3379,[C1010] University Writing
136,12896,3836,Industrial Info. Systems
137,12897,481,[ASCE V2359] Introduction to East Asian Civilization: China
138,12898,3837,Avant-Garde Literature and Revolution
139,12901,1475,[C3443] Organic Chemistry I
140,12902,3379,[C1010] University Writing
141,12903,1908,[W1105] Principles of Economics
142,12905,1123,[W3211] Intermediate Microeconomics
143,12907,3306,1101
144,12908,449,[BC1001] Introduction to Macroeconomics
145,12909,859,[PHIL BC1003] Philosophy and Human Existence
146,12910,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
147,12911,2722,[APAM 1601] Introduction to Computational Math and Physics
148,12912,2418,Introduction to Microeconomics
149,12913,3674,[HIST W3661] Latin American Civilization II
150,12916,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
151,12917,354,[SPAN V1101] Elementary Spanish I
152,12918,5160,[PHYS C1401] Introduction to Mechanics and Thermodynamics
153,12919,511,[BIOL W3005] Neurobiology II: Development & Systems 
154,12920,2088,[PSYC W1610] Statistics for Behavioral Scientists
155,12921,569,Elementary German II
156,12922,3843,[URBS V3200] GIS: Methods and Case Studies
157,12923.0,,
158,12924,565,[FREN W1101] Elementary French I
159,12925,1902,[POLS V1501] Introduction to Comparative Politics
160,12926,3041,[HIST BC1401] American Civilization to the Civil War
161,12927,2056,[ASTR 1404] Beyond the Solar System
162,12928,2203,[C1404] General Chemistry II
163,12929,3844,Race Gender & Poetic Form
164,12930,711,Fundamentals of Western Music
165,12931,1229,"Intro to Music, I"
166,12932.0,,
167,12933,4746,[MATH V1201] Calculus III
168,12934,3845,Inorganic Chemistry
169,12935,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
170,12936,869,[BIOL W3031] Genetics
171,12937,992,[BIOL C2006] Introduction to Molecular and Cellular Biology II
172,12938,3846,"Theories of Culture, Antihumanism"
173,12939,2093,"[AHUM V3340] Art in China, Japan, and Korea"
174,12940,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
175,12941,3674,[HIST W3661] Latin American Civilization II
176,12942,2093,"[AHUM V3340] Art in China, Japan, and Korea"
177,12943,1599,[AHIS W3230] Medieval Architecture
178,12944,3849,American Realism
179,12945,1002,[PSYC W2220] Cognition: Memory and Stress
180,12946,3851,"The Historical Significance of Philadelphia, The Political Economy of the Angry Jew"
181,12947,4746,[MATH V1201] Calculus III
182,12948,1562,[AHIS W4155] Art and Architecture of Ancient Mesopotamia
183,12949,565,[FREN W1101] Elementary French I
184,12950,4746,[MATH V1201] Calculus III
185,12951.0,,
186,12952,1908,[W1105] Principles of Economics
187,12953,4020,[ASCM V2003] Introduction to Islamic Civilization
188,12955.0,,
189,12957,1902,[POLS V1501] Introduction to Comparative Politics
190,12958,2352,[HRTS V3001] Introduction to Human Rights
191,12959,709,[PSYC BC1105] Psychology of Learning (w/ or w/o lab)
192,12960,565,[FREN W1101] Elementary French I
193,12961,3811,[POLS W3922] Terrorism and Counter-Terrorism
194,12963,3853,De-Coding Culture
195,12964,3678,"[AHIS S3562] Manet, Cezanne, Gauguin, Picasso"
196,12965,3545,[C1101] Contemporary Civilization
197,12966,1002,[PSYC W2220] Cognition: Memory and Stress
198,12967,3545,[C1101] Contemporary Civilization
199,12968,2629,[BIOC W4512] Molecular Biology
200,12969,845,[HIST BC3467] America Since 1945
201,12970,2720,[HIST W3926] Historical Origins of Human Rights
202,12971,3854,Sociology & The Public
203,12972,3855,[ANTH V2100] Muslim Societies
204,12973,893,Hinduism
205,12974,704,[SPAN C1201] Intermediate Spanish I
206,12975,1203,[MATH V1202] Calculus IV
207,12976,1908,[W1105] Principles of Economics
208,12977,3545,[C1101] Contemporary Civilization
209,12978,4634,[STAT W1211] Intro to Statistics (B)
210,12979,3545,[C1101] Contemporary Civilization
211,12982,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
212,12983.0,,
213,12984.0,,
214,12985,2601,"[ANTH V3947] Text, Magic, Performance"
215,12986.0,,
216,12988,102,[POLS V1601] Introduction to International Politics
217,12990,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
218,12991,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
219,12992.0,,
220,12993,4106,[AHIS C3643] American City: Urban Forms and City Planning
221,12995,1599,[AHIS W3230] Medieval Architecture
222,12996,73,[MATH V1101] Calculus I
223,12997,1599,[AHIS W3230] Medieval Architecture
224,12998,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
225,12999,1908,[W1105] Principles of Economics
226,13001,1908,[W1105] Principles of Economics
227,13002,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
228,13003,73,[MATH V1101] Calculus I
229,13005,1908,[W1105] Principles of Economics
230,13007,3858,Race Ethnicity and Immigration 
231,13008,3859,[BC2014] Topics in Economic History: Latin America
232,13010,3860,Calculus III Honors
233,13011,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
234,13012,3379,[C1010] University Writing
235,13013,2635,[PHYS C1291] General Physics Lab I
236,13014,1203,[MATH V1202] Calculus IV
237,13015.0,,
238,13017,4746,[MATH V1201] Calculus III
239,13018,72,[MATH W4061] Introduction to Modern Analysis
240,13019,1229,"Intro to Music, I"
241,13021,3863,Organizations
242,13023,4531,[HIST BC1101] Intro to European History: Renaissance to French Revolution 1500-1789
243,13024.0,,
244,13025,3379,[C1010] University Writing
245,13026.0,,
246,13027,5185,[MATH V1102] Calculus II
247,13028,3855,[ANTH V2100] Muslim Societies
248,13029.0,,
249,13030,413,Intermediate II
250,13033,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
251,13034,4114,[AHIS V3600] 19th Century Art
252,13035.0,,
253,13036,73,[MATH V1101] Calculus I
254,13037,3864,[ENTH BC3144] Black Theater
255,13039,810,Dance in NYC
256,13040,2294,[POLS W4472] Japanese Politics
257,13041.0,,
258,13042,4746,[MATH V1201] Calculus III
259,13043,924,[PSYC BC1001] Intro to Psychology
260,13044,1459,[C1403] General Chemistry I
261,13045,73,[MATH V1101] Calculus I
262,13046,2437,General Chemistry Lab
263,13047,3379,[C1010] University Writing
264,13048,102,[POLS V1601] Introduction to International Politics
265,13049,4746,[MATH V1201] Calculus III
266,13050,2798,History of the English Novel
267,13051,1630,[PHYS V1201] General Physics I
268,13052,2286,[WMST V1001] Intro to Women's and Gender Studies
269,13053,869,[BIOL W3031] Genetics
270,13054,4637,[BIOL W3022] Developmental Biology
271,13055,73,[MATH V1101] Calculus I
272,13056,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
273,13057.0,,
274,13058.0,,
275,13059,742,Politics of International Economics
276,13060,3455,Cultures of Colonialism - Palestine/Israel
277,13061,4020,[ASCM V2003] Introduction to Islamic Civilization
278,13062,4020,[ASCM V2003] Introduction to Islamic Civilization
279,13063,236,[PHIL V1401] Elementary Logic
280,13064,563,[PHIL C1010] Methods and Problems of Philosophical Thought
281,13065,3601,[PSYC W1001] Science of Psychology
282,13066,310,[W3001] Structure and Style I
283,13067,3633,[W3213] Intermediate Macroeconomics 
284,13068,3868,Anthropology of Jazz
285,13069.0,,
286,13072.0,,
287,13073,3869,[HIST G8530] Civil War and Reconstruction
288,13074,3858,Race Ethnicity and Immigration 
289,13075,4746,[MATH V1201] Calculus III
290,13077,3545,[C1101] Contemporary Civilization
291,13080,1475,[C3443] Organic Chemistry I
292,13081,102,[POLS V1601] Introduction to International Politics
293,13082,1908,[W1105] Principles of Economics
294,13083,1902,[POLS V1501] Introduction to Comparative Politics
295,13085.0,,
296,13087.0,,
297,13088,924,[PSYC BC1001] Intro to Psychology
298,13089,3872,The Culture of German Modernism
299,13090,1902,[POLS V1501] Introduction to Comparative Politics
