,review_id,course_id,course_name
122,8362,2141,[HIST BC1062] Introduction to the Later Middle Ages: 1050-1450
123,8363,1808,"[PHYS C1402] Intro to Electricity, Magnetism and Optics"
124,8364,3601,[PSYC W1001] Science of Psychology
125,8365,993,"[E1201] Design of Bridges, Buildings, and Spacecraft"
126,8366,5470,[PHYS C1002] Physics for Poets II
127,8367,704,[SPAN C1201] Intermediate Spanish I
128,8368,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
129,8369,2717,SPAN V3353y Literature and Culture of Spain: Medieval
130,8370,609,W3200 Spanish Grammar and Composition
131,8371,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
132,8372,2628,History of Literary Criticism II
133,8374,481,[ASCE V2359] Introduction to East Asian Civilization: China
134,8376,3601,[PSYC W1001] Science of Psychology
135,8377,2333,[POLS W1002] Introduction to Political Thought
136,8378,102,[POLS V1601] Introduction to International Politics
137,8379,2643,[W2257] Global Economy
138,8380,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
139,8381,2720,[HIST W3926] Historical Origins of Human Rights
140,8382,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
141,8383,2283,[E1102] Art of Engineering (Gateway Lab)
142,8384,2722,[APAM 1601] Introduction to Computational Math and Physics
143,8385,2295,Intro to study and theory of film
144,8386,924,[PSYC BC1001] Intro to Psychology
145,8387,2723,British Survey 1660 - 1800
146,8388,1777,Modern Drama I
147,8389,2724,[CLEN W4560] Backgrounds to Contemporary Theory
148,8390,310,[W3001] Structure and Style I
149,8391,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
150,8392,1908,[W1105] Principles of Economics
151,8393,2725,Spanish Lit: Enlightenment to Generation 1898
152,8394,3601,[PSYC W1001] Science of Psychology
153,8395,1481,[HIST W3540] History of the South
154,8397,413,Intermediate II
155,8398,2468,Religion and Postmodernism
156,8399,3463,[PSYC W1450] Experimental Psych: Social Cognition and Emotion
157,8400,517,[W4209] Game Theory and Political Theory
158,8401,547,[MATH V2010] Linear Algebra
159,8402,3354,[AHUM V3400] Colloquium on Major Texts
160,8403,2728,Mozart V2024
161,8404,2729,[FREN W3405] Third-Year Grammar and Composition I
162,8405,2347,[C3045] Intensive Organic Chemistry for First Years I
163,8406,997,American Fiction
164,8407,1630,[PHYS V1201] General Physics I
165,8409,916,20th Century Hispanic Literature
166,8410,805,Latin American Civilization: 1810 to Present
167,8411,3601,[PSYC W1001] Science of Psychology
168,8412,3379,[C1010] University Writing
169,8413,1637,[POLS W3921] American Politics Seminar: First Amendment and Censorship
170,8414,1323,[POLS W3631] American Foreign Policy
171,8415,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
172,8416,3545,[C1101] Contemporary Civilization
173,8417,1323,[POLS W3631] American Foreign Policy
174,8418,733,Yoga
175,8419,2442,Russian 1201x
176,8421,2572,"[AHIS V3500] 17th Century Art: Italy, France, Spain"
177,8422,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
178,8424,203,Karate
179,8425,856,sociology of education
180,8426,2733,MUSC 3139 Introduction to Vocal Rep.
181,8427,73,[MATH V1101] Calculus I
182,8429,2664,[POLS W3027] Liberalism and Communitarianism
183,8430,658,General Review
184,8431,2734,[BIOC W4205] Biochemistry: Origins of Life
185,8433,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
186,8434,2729,[FREN W3405] Third-Year Grammar and Composition I
187,8435,2735,"Senior Seminar: Man in the Crown, Woman in the Streets"
188,8436,3545,[C1101] Contemporary Civilization
189,8437,5260,[V1202] Intermediate Italian II
190,8438,1459,[C1403] General Chemistry I
191,8439,573,Strength Training
192,8441,1021,Evaluation of Evidence
193,8443,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
194,8444,3545,[C1101] Contemporary Civilization
195,8447,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
196,8448,73,[MATH V1101] Calculus I
197,8450,2738,"Theater and Society, theater lab"
198,8451,2739,[MDES G4109] Ottoman Turkish
199,8452,2740,[MDES W4950] Late Ottoman State & Society
200,8453,4634,[STAT W1211] Intro to Statistics (B)
201,8454,2741,History of African American Health and Health Movements
202,8456,2742,G4990 LSMA Research Thesis Seminar
203,8457,3379,[C1010] University Writing
204,8458,73,[MATH V1101] Calculus I
205,8459,3379,[C1010] University Writing
206,8460,2744,Religions and the Modern World
207,8461,2745,[HIST W3680] History of Brazil
208,8462,2746,[E6998] Advanced Topics in Image-Based Rendering
209,8463,3480,[BIOL BC2001] Molecular and Cell Biology
210,8464,2722,[APAM 1601] Introduction to Computational Math and Physics
211,8465,242,[SPAN V1102] Elementary Spanish II
212,8467,675,[PSYC BC1101] Statistics
213,8468,3602,[POLS W3619] Nationalism and Contemporary World Politics
214,8469,449,[BC1001] Introduction to Macroeconomics
215,8470,3354,[AHUM V3400] Colloquium on Major Texts
216,8471,3379,[C1010] University Writing
217,8473,1217,Elementary II
218,8474,629,Imaginative Writing
